beschreibung,start,end,info,erledigt
Rotavirus (RV) #1 (xxx),12.02.2024,18.02.2024,, 
Rotavirus (RV) #2 (xxx),19.02.2024,25.02.2024,fruehestens 4 Wochen nach der 1. Impfung, 
Rotavirus (RV) #3 (xxx),26.02.2024,03.03.2024,abhängig vom verwendeten Impfstoff frühestens 4 Wochen nach der 2. Impfung, 
6-fach #1 (xxx),19.02.2024,25.02.2024,"6-fach (Diphterie (DIP), Tetanus (TET), Pertussis (PEA), Poliomyelitis (IPV), Haemophilus,  Influenzae B (HIB), Hepatitis B (HBV))", 
6-fach #2 (xxx),04.03.2024,10.03.2024,2 Monate nach der 1. Impfung, 
6-fach #3 (xxx),22.04.2024,28.04.2024, frühestens 6 Monate nach der 2. Impfung, 
Pneumokokken (PNC) #1 (xxx),19.02.2024,25.02.2024,, 
Pneumokokken (PNC) #2 (xxx),04.03.2024,10.03.2024,2 Monate nach der 1. Impfung, 
Pneumokokken (PNC) #3 (xxx),22.04.2024,28.04.2024,frühestens 6 Monate nach der 2. Impfung, 
MMR #1 (xxx),22.04.2024,28.04.2024,"Mumps, Masern, Roeteln (MMR)", 
MMR #2 (xxx),13.05.2024,19.05.2024,2. Impfung nach 3 Monaten, 
Meningokokken B #1 (xxx),19.02.2024,25.02.2024,, 
Meningokokken B #2 (xxx),26.02.2024,03.03.2024,, 
Meningokokken B #3 (xxx),04.03.2024,10.03.2024,, 
Meningokokken B #4 (xxx),29.04.2024,05.05.2024,Auffrischungs- beziehungsweise Nachhol-Impfung, 
